File/Folder Name;Path;Type;URL;Size (bytes);Created Time
RPS_Transmisi dan Distribusi .docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Transmisi dan Distribusi .docx;File;https://docs.google.com/document/d/1f_nCg6L8RHFwKcn0Jo86L9ednc-JD8_R/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1646994;2026-06-23T05:00:39.571Z
RPS_Sistem Instrumentasi.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Sistem Instrumentasi.docx;File;https://docs.google.com/document/d/1p2unAmdVie-1q4DLq9g9DEtDXjU0_BeX/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1647170;2026-06-23T05:00:29.571Z
RPS_Matematika Diskrit.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Matematika Diskrit.docx;File;https://docs.google.com/document/d/15gYZYZ_wTA3r8nAnotLHI5189Vn2dcWZ/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1646753;2026-06-23T04:59:15.932Z
RPS_Komunikasi Data.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Komunikasi Data.docx;File;https://docs.google.com/document/d/1a4nVLwGVlGTrEdFdO3RHtQfys70A9KwI/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1646520;2026-06-23T04:58:45.809Z
RPS_Isyarat dan Sistem.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Isyarat dan Sistem.docx;File;https://docs.google.com/document/d/1149Sv0eJ1aA6RGkJCO4VMbN6DnGTQz0R/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1647173;2026-06-23T04:58:23.817Z
RPS_Probabilitas Statistik.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Probabilitas Statistik.docx;File;https://docs.google.com/document/d/1A0sQqoPgH5baeFKpYxVvNRIbOiW4ctZv/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1647339;2026-06-23T05:00:15.284Z
RPS_Perancangan Sistem Analog.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Perancangan Sistem Analog.docx;File;https://docs.google.com/document/d/1b70S7sI-TGIrqXg0Y59FTIHs-NW4vQmD/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1646483;2026-06-23T05:00:01.375Z
RPS_Pemrograman Komputer.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Pemrograman Komputer.docx;File;https://docs.google.com/document/d/1fmqd_vJb25AVUAHTM-KCS4X3Pejd9wk8/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1647183;2026-06-23T04:59:22.622Z
RPS_Fisika Modern.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Fisika Modern.docx;File;https://docs.google.com/document/d/1V0gd27VwTbJT5TVXHXk03xoEXbxQ0wAr/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1647084;2026-06-23T04:58:19.801Z
RPS_Elektronika Digital.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Elektronika Digital.docx;File;https://docs.google.com/document/d/1dMQLvVReNc5Ui-txtzdVdO4HK4F1RYmW/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1646705;2026-06-23T04:57:58.457Z
RPS_Analisa Vektor.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Analisa Vektor.docx;File;https://docs.google.com/document/d/1WBWOg9z9bunDsE6R_4krjEMkn4BN4JF_/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1646699;2026-06-23T04:57:25.083Z
RPS_Analisa Numerik.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Analisa Numerik.docx;File;https://docs.google.com/document/d/1gKiURMdYIT_twfu7SPL8OMFVP9XlBBzg/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1646312;2026-06-23T04:57:17.053Z
