Jenis Kegiatan ,Judul Penelitian,Ketua Peneliti,Personil,Tahun,Pendanaan,Roadmap,Sumber,Jenis Sumber,TS,Sesuai Inti,Link Bukti,Link Luaran,Cek Duplikasi,,,,,,Sumber ,"a) Perguruan tinggi
 b) Mandiri",Lembaga dalam negeri (diluar PT),Lembaga Luar Negeri,,Jenis ,Penelitian,PkM
PkM,PKM PENDAMPINGAN INSTALASI SISTEM CCTV UNTUK MASJID BAITUL ROHMAH PUDAK PAYUNG SEMARANG,Margono,Imadudin Harjanto; Bambang Hadi Kunaryo;,2023,"Rp8.000.000,00",,PROGRAM KEMITRAAN MASYARAKAT ( PKM ),Lembaga dalam negeri (diluar PT),TS-2,V,https://upgrisacid0.sharepoint.com/:b:/s/AkreditasiPSTE2026/IQD16OVJCxApR5BrEJAVCo_BAYZLd5Q8D532o4fR1qvsEx8?e=UPwhKw,https://upgrisacid0.sharepoint.com/:b:/s/AkreditasiPSTE2026/IQB6J5s1qRl5QrepnB8tcxeVAdYButW4scCKNKlcpen0Adk?e=JdKly6,Unique,,,,,,,,,,,,,
PkM,(PKM) PENDAMPINGAN PEMBENAHAN INSTALASI JARINGAN INTERNET LPQ ANNUR TANGGUL MAS BARAT SEMARANG,Slamet Supriyadi,Muhammad Amiruddin; Nur Aksin;,2025,"Rp10.000.000,00",,MANDIRI ( PKM-MANDIRI ),"a) Perguruan tinggi
 b) Mandiri",TS,V,https://upgrisacid0.sharepoint.com/:b:/s/AkreditasiPSTE2026/IQDsV_Kgx6cbQqis7mJFMMUpAYboOcNtU6nrIamPIiZHaFA?e=Thx2nR,https://upgrisacid0.sharepoint.com/:b:/s/AkreditasiPSTE2026/IQAda4Re0ZNwR5PxfcwQnl1_AV99d5PR4VmJfdnvnp2ERO4?e=nGuXV4,Unique,,,,,,,,,,,,,
PkM,PENDAMPINGAN PEMBENAHAN INSTALASI KELISTRIKAN GENSET PANTI ASUHAN SULTAN FATAH NGALIYAN SEMARANG,Margono,Muhammad Amiruddin; Imadudin Harjanto;,2023,"Rp8.000.000,00",,PROGRAM KEMITRAAN MAYSARAKAT-REGULER ( PKM-REGULER ),"a) Perguruan tinggi
 b) Mandiri",TS-2,V,https://upgrisacid0.sharepoint.com/:b:/s/AkreditasiPSTE2026/IQBlUnox5tf1Q4zsGUYrFwt1AX5xUGXVc94eqMJC9kUFglE?e=iVJCYu,https://upgrisacid0.sharepoint.com/:b:/s/AkreditasiPSTE2026/IQDV9et1GhkTQbtKgxfw_yHCAZR5fs6ISjBPcW48CVwV_yU?e=7PsqAw,Unique,,,,,,,,,,,,,
PkM,SOSIALISASI UMKM TERKAIT INOVASI LABEL PEYEK,Muhammad Amiruddin,Personils : -,2023,"Rp1.320.000,00",,REGULER ( REG ),"a) Perguruan tinggi
 b) Mandiri",TS-2,,,,Unique,,,,,,,,,,,,,
PkM,PENDAMPINGAN PENCEGAHAN WASPADA DEMAM BERDARAH,Muhammad Amiruddin,Personils : -,2023,"Rp1.320.000,00",,REGULER ( REG ),"a) Perguruan tinggi
 b) Mandiri",TS-2,,,,Unique,,,,,,,,,,,,,
PkM,"PENDAMPINGAN PENGENALAN TEKNOLOGI INFORMASI DAN KOMUNIKASI DALAM PEMASANG WIFI SETIAP WILAYAH KUPANG LOR AMBARAWA, KABUPATEN SEMARANG",Muhammad Amiruddin,Personils : -,2022,"Rp1.760.000,00",,REGULER ( REG ),"a) Perguruan tinggi
 b) Mandiri",TS-2,,,,Unique,,,,,,,,,,,,,
PkM,Pemberdayaan Masyarakat Peternak Sapi Lokal Di Desa Kuripan Kecamatan Karangawen Kabupaten Demak Menuju Desa Sentra Energi Terbarukan,Achmad Buchori,Suwarno Widodo; Siti Maisyaroh Bakti Pertiwi; Adhi Kusmantoro;,2025,"Rp101.121.000,00",,Pengabdian Kepada Masyarakat Kompetitif Nasional ( PDB ),Lembaga dalam negeri (diluar PT),TS,V,,https://upgrisacid0.sharepoint.com/:b:/s/AkreditasiPSTE2026/IQBsOwnQ8ZJEQaxOgx1mWY5tAbhVQCMhuxaHH9-RX0dkX04?e=4bjn1j,Unique,,,,,,,,,,,,,
PkM,PELATIHAN MADING DIGITAL BERBASIS WEB BAGI KOMUNITAS SENI HYSTERIA SEMARANG,Theodora Indriati Wardani,Adhi Kusmantoro; Irna Farikhah;,2024,"Rp5.750.000,00",,PROGRAM KEMITRAAN MAYSARAKAT-REGULER ( PKM-REGULER ),"a) Perguruan tinggi
 b) Mandiri",TS-1,V,https://upgrisacid0.sharepoint.com/:b:/s/AkreditasiPSTE2026/IQBgd7IBV-EKSYk-FJcXqZJiAZOQSBcLzl73zi3Mh6yFQf8?e=wg5Ivo,https://upgrisacid0.sharepoint.com/:b:/s/AkreditasiPSTE2026/IQCIg8HqO7mPTZ6CnHenRTsPAfxxq-UGH9e3lxya9Q8vJO0?e=Yxv4aZ,Unique,,,,,,,,,,,,,
PkM,PKM BAGI SD NEGERI KALIBANTENG KULON 01 SEMARANG,Adhi Kusmantoro,Irna Farikhah; Theodora Indriati Wardani;,2023,"Rp6.000.000,00",,PROGRAM KEMITRAAN MASYARAKAT ( PKM ),"a) Perguruan tinggi
 b) Mandiri",TS-2,V,https://upgrisacid0.sharepoint.com/:b:/s/AkreditasiPSTE2026/IQCv9-C-S9liTJ4utPqYg97cAU2mytgodLWKvM-ejo3f8CQ?e=NWHRw2,https://upgrisacid0.sharepoint.com/:b:/s/AkreditasiPSTE2026/IQDGnRquX-LOSaIAyVvA_nEXAYa9mXYVc7EjJKN5kj4D89E?e=gqfNs0,Unique,,,,,,,,,,,,,
PkM,PENGUATAN PEMBUATAN MEDIA PEMBELAJARAN INTERAKTIF BERBASIS IT MGMP IPA BLORA,Affandi Faisal Kurniawan REGULER ( PKM-REGULER ),Nur Khoiri; Sigit Ristanto;,2025,"Rp8.000.000,00",,,"a) Perguruan tinggi
 b) Mandiri",TS,V,https://upgrisacid0.sharepoint.com/:b:/s/AkreditasiPSTE2026/IQBFfo0I6RgqSYIc58XGmzlVAWBrs2K59AXAQp7lQ5v5pzE?e=hpJh7s,,Unique,,,,,,,,,,,,,
PkM,PENGUATAN PEMBUATAN MEDIA PEMBELAJARAN INTERAKTIF BERBASIS IT MGMP IPA GROBOGAN,Affandi Faisal Kurniawan PROGRAM KEMITRAAN MAYSARAKAT-REGULER ( PKM-REGULER ),Nur Khoiri; Sigit Ristanto;,2024,"Rp8.000.000,00",,,"a) Perguruan tinggi
 b) Mandiri",TS-1,V,https://upgrisacid0.sharepoint.com/:b:/s/AkreditasiPSTE2026/IQAWUfFcIKRUTKYX-MBkRh8AAc8tAU4amAbuRYEznF5fFSs?e=dpC2Yn,,Unique,,,,,,,,,,,,,
PkM,PKM MODEL PEMBELAJARAN BERBASIS DIGITAL BAGI GURU-GURU SMPN 3 SEMARANG,Maria Yosephine Widarti Lestari PROGRAM KEMITRAAN MAYSARAKAT-REGULER ( PKM-REGULER ),Sigit Ristanto; Jafar Sodiq;,2024,"Rp8.000.000,00",,,"a) Perguruan tinggi
 b) Mandiri",TS-1,V,https://upgrisacid0.sharepoint.com/:b:/s/AkreditasiPSTE2026/IQD6t6Mc6X_qT7g-nPswX0JAARNFHtf_WxZJ0qKNcrYhZqc?e=kdZMtI,,Unique,,,,,,,,,,,,,
PkM,MEMBUAT MEDIA UNTUK POJOK BACA DI KABUPATEN KENDAL,Sigit Ristanto REGULER ( REG ),Personils : -,2023,"Rp1.650.000,00",,,"a) Perguruan tinggi
 b) Mandiri",TS-2,,,,Unique,,,,,,,,,,,,,
PkM,"PENGEDUKASIAN TERHADAP WARGA DESA LIMBANGAN, KENDAL UNTUK PEMANFAATAN LIMBAH ORGANIC MENJADI SABUN SERBA GUNA",Sigit Ristanto REGULER ( REG ),Personils : -,2023,"Rp1.430.000,00",,,"a) Perguruan tinggi
 b) Mandiri",TS-2,,,,Unique,,,,,,,,,,,,,
PkM,PENGUATAN KARYA ILMIAH REMAJA (KIR) SISWA MAN 1 KOTA SEMARANG,Sigit Ristanto PROGRAM KEMITRAAN MASYARAKAT-REGULER ( PKM-REG ),Nur Khoiri; Affandi Faisal Kurniawan;,2023,"Rp8.000.000,00",,,"a) Perguruan tinggi
 b) Mandiri",TS-2,,https://upgrisacid0.sharepoint.com/:b:/s/AkreditasiPSTE2026/IQBdbZaiAMm6SIxmk4Wws7JfAbrjyfAhicUsj0pGgfTfllU?e=gt3T3D,https://upgrisacid0.sharepoint.com/:b:/s/AkreditasiPSTE2026/IQASEJZIHGmnSbKoLTS0KaMoAU4R9aKxpJKUUBQ1qfkQiWg?e=E9wfCW,Unique,,,,,,,,,,,,,
PkM,PKM PENGUATAN PENYUSUNAN KARYA TULIS ILMIAH MGMP FISIKA KABUPATEN BOYOLALI,Sigit Ristanto PROGRAM KEMITRAAN MAYSARAKAT-PENUGASAN ( PKM-PENUGASAN ),Nur Khoiri; Affandi Faisal Kurniawan;,2023,"Rp14.000.000,00",,,"a) Perguruan tinggi
 b) Mandiri",TS-2,,,,Unique,,,,,,,,,,,,,
PkM,"PKM PROGRAM PENERAPAN SMART ENVIRONMENTAL MONITORING BERBASIS IP-CCTV TENAGA SURYA DAN REKAYASA TATA
 LETAK MENGGUNAKAN SPK DI PONDOK PESANTREN KH. MURODI MRANGGEN DEMAK",Bambang Hadi Kunaryo,"Afeef Kurnia Rahmawan, Ganjar Winasis, Sunan Baedowi, Dr Affandi Faesal Kurniawan",2026,"Rp8.000.000,00",,,"a) Perguruan tinggi
 b) Mandiri",TS,V,https://upgrisacid0.sharepoint.com/:b:/s/AkreditasiPSTE2026/IQC3okTdh-7kSYDNweTIoWenARqkWGNJr4yO_Z2EErTU13c?e=7nUDTq,,Unique,,,,,,,,,,,,,
