Judul ,Auhor,Nama Penerbit,Tahun Terbit,TS,Jenis Publikasi,Jenis Luaran,Relevansi  dengan visi keilmuan,PUBLISHER,jumlah sitasi,terindex scopus,Rank SINTA,Keunggulan Dosen,Peran Dosen ,Publikasi Mahasiswa,Cek Duplikasi,Link Bukti,,,,,,,,,,
Pendampingan Digitalisasi Pemasaran Produk UMKM di Desa Banjarejo Kecamatan Boja Kabupaten Kendal,"W Wijayanto, N Cholifah, AR Rozzaqi, BH Kunaryo, S Sudargo","Journal of Digital Community Services 1 (2), 22-27",19 Mei 2024,TS-2,Jurnal nasional terakreditasi / majalah profesi nasional*,Penelitian,V,Journal of Digital Community Services,,Tidak,SINTA 5,,,,Unique,,,,,,,,,,,"Journal of Digital Community Services 1 (2), 22-27"
Pendekatan Neural Network pada Gerak Unstretch Bungee Jumping Menggunakan Metode Euler,"Tika Wahyuni, Fardika Armawanto, Diah Ayu Faradita, Nur Khoiri, Affandi Faisal Kurniawan, Joko Saefan",Lontar Physics Today,1 Desember 2023,TS-2,Jurnal nasional terakreditasi / majalah profesi nasional*,Penelitian,,Lontar Physics Today,,Tidak,SINTA 4,,,,Unique,,,,,,,,,,,Sādhanā
Pengembangan e-lkpd berbasis problem based learning untuk meningkatkan kemampuan pengambilan keputusan peserta didik,"EY Ismawati, N Khoiri, J Saefan, S Ristanto, HA Prakosa, S Ristianti","Jurnal Inovasi Pembelajaran Di Sekolah 4 (2), 712-720",Desember 2023,TS-2,Jurnal nasional tidak terakreditasi,Penelitian,V,Jurnal Inovasi Pembelajaran di Sekolah,,Tidak,Belum Terakreditasi,,,,Unique,,,,,,,,,,,"Berkala Ilmiah Pendidikan Fisika 12 (2), 177-185"
Pengenalan Photovoltaik (PV) Dalam Sistem PLTS di SD Negeri Kalibanteng Kulon 01 Semarang,"A Kusmantoro, TI Wardani, I Farikhah","Seminar Nasional Hasil Penelitian dan Pengabdian Kepada Masyarakat 4, 860-871",29 Desember 2023,TS-2,Prosiding di seminar nasional/wilayah,Pengabdian,V,Seminar Nasional Hasil Penelitian dan Pengabdian (SNHP),,Tidak,Prosiding Nasional,,,,Unique,,,,,,,,,,,"Seminar Nasional Hasil Penelitian dan Pengabdian Kepada Masyarakat 4, 860-871"
Pengenalan PLTS Sebagai Pembangkit Listrik Energi Terbarukan Bagi Siswa dan Guru SD Negeri Kalibanteng Kulon 01 Semarang,"A Kusmantoro, I Farikhah, TI Wardani","J-ADIMAS (Jurnal Pengabdian Kepada Masyarakat) 12 (1), 37-42",24 Juli 2024,TS-2,Jurnal nasional terakreditasi / majalah profesi nasional*,Pengabdian,V,J-ADIMAS (Jurnal Pengabdian Kepada Masyarakat),,Tidak,SINTA 5,,,,Unique,,,,,,Jurnal internasional bereputasi / majalah profesi internasional*,,,,,"J-ADIMAS (Jurnal Pengabdian Kepada Masyarakat) 12 (1), 37-42"
PENGUATAN KARYA ILMIAH REMAJA (KIR) SISWA MAN 1 KOTA SEMARANG,"S Ristanto, N Khoiri, AF Kurniawan, J Saefan","Seminar Nasional Hasil Penelitian dan Pengabdian Kepada Masyarakat 4, 881-889",Desember 2023,TS-2,Prosiding di seminar nasional/wilayah,Pengabdian,,Seminar Nasional Hasil Penelitian dan Pengabdian (SNHP),,Tidak,Prosiding Nasional,,,,Unique,,,,,,,,,,,"Lontar Physics Today 3 (2), 055-063"
PERANCANGAN ALAT PENYIRAMAN TANAMAN OTOMATIS BERBASIS PID DENGAN MONITORING PID,"AFR Alfan, A Kusmantoro","JETI (Jurnal Elektro dan Teknologi Informasi) 1 (1), 1-5",24/5/2024,TS-2,Jurnal nasional tidak terakreditasi,Penelitian,V,JETI (Jurnal Elektro dan Teknologi Informasi) UPGRIS,,Tidak,Belum Terakreditasi,,,Ya,Unique,https://journal2.upgris.ac.id/index.php/jeti/article/view/573/229,,,,,Prosiding terindeks Scopus / WoS di seminar internasional / pertemuan himpunan profesi internasional*,,,,,"JETI (Jurnal Elektro dan Teknologi Informasi) 1 (1), 1-5"
PERANCANGAN PEMBANGKIT LISTRIK HIBRYD ( PLNPLTS-GENSET ) PADA TOSERBA YOGYA PEKALONGAN,ahmad khudori ahmad -,JETI,1/10/2023,TS-2,Jurnal nasional tidak terakreditasi,,,,,,,,,Ya,Unique,https://journal2.upgris.ac.id/index.php/jeti/article/view/314/185,,,,,,,,,,Journal of Physics: Conference Series
PERANCANGAN PERANGKAT KERAS PENGERING PAKAIAN,"F Udin, A Kusmantoro","JETI (Jurnal Elektro dan Teknologi Informasi) 1 (1), 1-4",25/5/2024,TS-2,Jurnal nasional tidak terakreditasi,Penelitian,V,JETI (Jurnal Elektro dan Teknologi Informasi) UPGRIS,,Tidak,Belum Terakreditasi,,,Ya,Unique,https://journal2.upgris.ac.id/index.php/jeti/article/view/578/230,,,,,Prosiding tidak terindeks di seminar internasional / pertemuan himpunan profesi nasional*,,,,,"JETI (Jurnal Elektro dan Teknologi Informasi) 1 (1), 1-4"
PLTS MODULE DESIGN USING BATTERY MANAGEMENT SYSTEM ON LI-ION BATTERY,"MMS Wafa, A Kusmantoro, M Margono",JETI (Jurnal Elektro dan Teknologi Informasi) 2 (2),27/3/2024,TS-2,Jurnal nasional tidak terakreditasi,Penelitian,V,JETI (Jurnal Elektro dan Teknologi Informasi) UPGRIS,,Tidak,Belum Terakreditasi,,,Ya,Unique,https://journal2.upgris.ac.id/index.php/jeti/article/view/317/183,,,,,,,,,,JETI (Jurnal Elektro dan Teknologi Informasi) 2 (2)
Poly Lactic-co-Glycolic Acid Nanoparticles: Flow Rates and Gauge Sizes Influence the Droplet Surface Tension and Particle Sizing,"A Shakri, MAI Shawaludin, IFM Suffian, I Farikhah, KM Pa’ad","Journal of Research in Nanoscience and Nanotechnology 9 (1), 1-12",Desember 2023,TS-2,Jurnal internasional,Penelitian,V,Journal of Research in Nanoscience and Nanotechnology,,Tidak,Jurnal Internasional (Non-Scopus),,,,Unique,,,,,,,,,,,"Widya Teknik 23 (3), 114-118"
RANCANGAN BANGUN KEBUTUHAN ACESSPOINT DI GEDUNG UTAMA UNIVERSITAS PGRI SEMARANG,"B Hadi Kunaryo, I Harjanto, M Amiruddin","Jurnal Teknologi Informasi dan Komunikasi, Volume 14, Nomor 2 Thn 2023",01-Sep-23,TS-2,Jurnal nasional terakreditasi / majalah profesi nasional*,,V,Jurnal Ilmiah Teknologi Informasi dan Komunikasi (JTIK),,Tidak,SINTA 5,,,,Unique,,,,,,,,,,,"Jurnal Teknologi Informasi dan Komunikasi, Volume 14, Nomor 2 Thn 2023"
Real-Time Microgrid Centralized Control For Consuming Water Pump,"A Kusmantoro, I Farikhah","E3S Web of Conferences 465, 02003",18 Desember2023,TS-2,Prosiding di seminar nasional/wilayah,Penelitian,V,E3S Web of Conferences,,Ya,Prosiding Internasional terindeks Scopus / IEEE Xplore / Scopus,Ya,,,Unique,,,,,,,,,,,"E3S Web of Conferences 465, 02003"
